machine_3005, appA:app_4825 inst_8069, appB:app_2692 inst_33721, interfer:0, deployed:1
machine_343, appA:app_4825 inst_97738, appB:app_4085 inst_60587, interfer:0, deployed:1
machine_638, appA:app_2904 inst_78423, appB:app_7447 inst_78622, interfer:0, deployed:1
machine_799, appA:app_2767 inst_35335, appB:app_6554 inst_69393, interfer:0, deployed:1
machine_878, appA:app_7067 inst_79354, appB:app_7447 inst_41915, interfer:0, deployed:1
machine_900, appA:app_6381 inst_43925, appB:app_9283 inst_33284, interfer:0, deployed:1
machine_947, appA:app_8347 inst_8477, appB:app_5063 inst_15192, interfer:0, deployed:1
machine_1108, appA:app_3526 inst_28861, appB:app_5063 inst_77071, interfer:0, deployed:1
machine_1258, appA:app_4825 inst_43306, appB:app_3875 inst_29435, interfer:0, deployed:1
machine_1388, appA:app_3210 inst_66451, appB:app_5438 inst_76564, interfer:0, deployed:1
machine_1456, appA:app_2353 inst_16698, appB:app_6156 inst_33942, interfer:0, deployed:1
machine_1494, appA:app_1391 inst_11056, appB:app_8732 inst_22780, interfer:0, deployed:1
machine_1554, appA:app_6597 inst_90843, appB:app_5881 inst_69960, interfer:0, deployed:1
machine_1607, appA:app_1391 inst_6930, appB:app_1343 inst_7429, interfer:0, deployed:1
machine_1744, appA:app_7889 inst_7034, appB:app_7447 inst_83444, interfer:0, deployed:1
machine_1820, appA:app_6381 inst_99487, appB:app_9283 inst_6074, interfer:0, deployed:1
machine_1871, appA:app_4825 inst_46911, appB:app_5063 inst_21728, interfer:0, deployed:1
machine_1983, appA:app_6880 inst_43420, appB:app_5063 inst_93106, interfer:0, deployed:1
machine_2058, appA:app_626 inst_87000, appB:app_393 inst_75447, interfer:0, deployed:1
machine_2072, appA:app_4749 inst_15175, appB:app_5063 inst_91203, interfer:0, deployed:1
machine_2135, appA:app_4825 inst_93064, appB:app_1952 inst_32917, interfer:0, deployed:1
machine_2215, appA:app_3250 inst_70251, appB:app_5063 inst_22225, interfer:0, deployed:1
machine_2240, appA:app_7155 inst_63322, appB:app_5063 inst_95947, interfer:0, deployed:1
machine_2330, appA:app_2980 inst_76043, appB:app_5764 inst_53832, interfer:0, deployed:1
machine_2517, appA:app_6269 inst_44650, appB:app_5063 inst_49887, interfer:0, deployed:1
machine_2728, appA:app_1592 inst_97467, appB:app_5063 inst_62190, interfer:0, deployed:1
machine_2754, appA:app_3027 inst_82186, appB:app_2692 inst_15039, interfer:0, deployed:1
machine_2764, appA:app_4825 inst_56561, appB:app_1952 inst_51613, interfer:0, deployed:1
machine_2787, appA:app_5418 inst_47869, appB:app_5063 inst_35027, interfer:0, deployed:1
machine_2940, appA:app_4825 inst_51838, appB:app_5063 inst_60036, interfer:0, deployed:1
