cap.disk,mid,score,avl.cpu.min,util.cpu.max,util.cpu.avg,avl.mem.min,util.mem.max,util.mem.avg,avl.disk,util.disk,alv.p,inst.cnt,inst.list
2457,machine_3054,1.7,28,69%,56%,103,64%,62%,1157,53%,6,20,"[40,60*15,80*2,100*2]"
2457,machine_3055,1.1,41,56%,46%,120,58%,58%,1297,47%,7,18,"[40,60*14,80,100*2]"
2457,machine_3056,1.5,29,68%,52%,15,95%,93%,817,67%,5,24,"[40,60*20,100,150*2]"
2457,machine_3057,2.9,13,86%,66%,99,65%,64%,1297,47%,5,19,"[40*2,60*15,80,100]"
2457,machine_3059,2.9,15,83%,67%,39,86%,84%,977,60%,7,24,"[40*2,60*20,100*2]"
2457,machine_3060,2.2,18,81%,60%,94,67%,65%,1137,54%,7,19,"[60*17,100,200]"
2457,machine_3061,1.9,23,75%,57%,25,91%,89%,757,69%,7,28,"[40,60*26,100]"
2457,machine_3062,2.2,20,79%,59%,71,75%,74%,837,66%,7,26,"[40,60*22,80*2,100]"
2457,machine_3065,2.5,11,88%,63%,27,91%,90%,777,68%,5,26,"[40*2,60*22,80,200]"
2457,machine_3066,4.2,8,91%,77%,31,89%,88%,287,88%,7,31,"[40,60*26,100*2,120,250]"
2457,machine_3067,2.2,17,82%,60%,60,79%,79%,957,61%,6,23,"[40,60*17,80*3,100*2]"
2457,machine_3068,4.5,1,99%,80%,19,94%,88%,897,63%,6,21,"[60*18,80,100,300]"
2457,machine_3069,3.6,6,94%,72%,37,87%,86%,477,81%,7,26,"[40*2,60*17,80,100*4,200*2]"
2457,machine_3072,2.9,18,80%,67%,43,85%,82%,577,77%,7,30,"[60*28,100*2]"
2457,machine_3073,1.2,30,68%,46%,77,73%,72%,1357,45%,7,19,"[40*4,60*14,100]"
2457,machine_3074,2.0,24,74%,57%,88,69%,67%,1177,52%,7,21,"[40*2,60*17,80,100]"
2457,machine_3076,2.9,7,92%,67%,54,81%,80%,1077,56%,6,25,"[40*8,60*16,100]"
2457,machine_3078,3.1,11,88%,68%,26,91%,89%,457,81%,7,30,"[40*3,60*22,80*2,100*2,200]"
2457,machine_3079,3.4,4,96%,71%,40,86%,84%,577,77%,7,27,"[40*3,60*18,80,100*4,200]"
2457,machine_3080,4.5,0,100%,79%,37,87%,86%,677,72%,7,30,"[40*3,60*25,80*2]"
2457,machine_3081,3.5,9,90%,71%,24,92%,90%,837,66%,7,26,"[40*4,60*18,80,100*3]"
2457,machine_3082,2.7,18,81%,65%,28,90%,88%,677,72%,7,29,"[40*6,60*18,80*2,100*3]"
2457,machine_3084,1.9,25,73%,57%,72,75%,74%,917,63%,7,26,"[40*2,60*23,80]"
2457,machine_3087,4.1,2,98%,76%,35,88%,87%,537,78%,6,30,"[40*2,60*24,100*4]"
2457,machine_3090,3.7,6,93%,73%,35,88%,84%,537,78%,7,28,"[40*6,60*17,80*2,100*2,300]"
2457,machine_3091,2.4,18,80%,61%,104,64%,63%,1337,46%,7,18,"[40*3,60*12,80,100*2]"
2457,machine_3092,3.3,17,82%,70%,32,89%,87%,317,87%,7,34,"[40,60*29,80*2,100*2]"
2457,machine_3094,1.1,38,59%,45%,98,66%,65%,1297,47%,6,19,"[40*2,60*15,80,100]"
2457,machine_3095,3.1,6,94%,67%,24,92%,91%,647,74%,6,21,"[40,60*14,80,100*2,150,200,300]"
2457,machine_3096,3.3,11,88%,69%,80,72%,70%,997,59%,7,21,"[40,60*17,100*2,200]"
2457,machine_3097,1.6,32,65%,55%,48,83%,81%,327,87%,7,30,"[40*2,60*22,80,100*3,150,200]"
2457,machine_3098,3.7,13,85%,74%,58,80%,78%,617,75%,7,28,"[40*4,60*20,80,100*2,200]"
2457,machine_3102,4.6,1,99%,80%,32,89%,88%,517,79%,7,26,"[40,60*20,100*3,200*2]"
2457,machine_3105,3.0,13,86%,67%,2,99%,97%,317,87%,7,33,"[40*4,60*24,80*3,100,200]"
2457,machine_3109,1.5,30,68%,51%,50,83%,81%,447,82%,7,25,"[60*18,80,100*3,150,200*2]"
2457,machine_3110,2.7,13,86%,65%,114,60%,59%,1477,40%,7,16,"[40*3,60*11,100*2]"
2457,machine_3111,3.0,14,85%,67%,75,74%,72%,497,80%,6,24,"[40,60*22,600]"
2457,machine_3113,4.7,2,98%,81%,19,93%,91%,737,70%,6,26,"[40,60*23,100,200]"
2457,machine_3114,2.8,7,92%,64%,111,62%,60%,1257,49%,6,20,"[40,60*18,80]"
2457,machine_3116,1.0,56,39%,30%,166,42%,39%,1617,34%,7,14,"[40*3,60*9,80,100]"
2457,machine_3117,2.9,8,91%,63%,111,62%,61%,1297,47%,7,19,"[40,60*16,80*2]"
2457,machine_3118,1.6,31,67%,54%,47,84%,83%,757,69%,4,27,"[40,60*23,80,100*2]"
2457,machine_3119,2.7,16,83%,66%,34,88%,83%,697,72%,6,23,"[40*2,60*15,80,100*3,200*2]"
2457,machine_3120,4.0,6,94%,76%,80,72%,71%,1077,56%,7,21,"[40*2,60*15,100*4]"
2457,machine_3123,3.9,10,89%,75%,101,65%,64%,1077,56%,5,23,"[60*23]"
2457,machine_3124,2.7,11,88%,63%,82,72%,70%,1137,54%,4,17,"[40,60*12,80*2,200*2]"
2457,machine_3126,3.0,11,88%,67%,93,68%,66%,1037,58%,7,16,"[40*3,60*10,200*2,300]"
2457,machine_3127,1.8,27,71%,55%,59,80%,75%,607,75%,7,26,"[40*3,60*17,80*2,100*2,150,200]"
2457,machine_3128,3.0,16,82%,67%,57,80%,79%,447,82%,7,29,"[60*26,100,150,200]"
2457,machine_3130,2.7,14,85%,63%,39,87%,86%,1017,59%,7,23,"[40*5,60*13,80*2,100*3]"
2457,machine_3131,2.0,21,78%,59%,44,85%,81%,737,70%,6,26,"[40*4,60*18,80,100*2,200]"
2457,machine_3133,1.8,24,73%,53%,62,78%,75%,1117,55%,7,21,"[40*3,60*14,80,100*3]"
2457,machine_3134,1.9,23,75%,56%,24,92%,89%,677,72%,6,28,"[40*2,60*22,80,100*3]"
2457,machine_3135,2.5,18,81%,61%,47,84%,82%,797,68%,7,24,"[40,60*19,80,100*2,200]"
2457,machine_3136,3.8,0,100%,74%,3,99%,97%,627,74%,6,30,"[40*3,60*26,150]"
2457,machine_3138,2.6,16,82%,65%,23,92%,89%,497,80%,6,29,"[60*26,100*2,200]"
2457,machine_3140,1.9,21,77%,55%,66,77%,75%,697,72%,6,27,"[60*23,80,100*3]"
2457,machine_3141,2.8,9,90%,65%,35,88%,87%,617,75%,6,28,"[40,60*25,100,200]"
2457,machine_3143,4.5,6,93%,79%,24,92%,91%,817,67%,6,25,"[40,60*20,100*4]"
2457,machine_3144,2.1,21,77%,59%,18,94%,93%,577,77%,6,28,"[40*2,60*22,80,100*2,200]"
2457,machine_3145,1.6,28,69%,53%,37,87%,86%,657,73%,7,25,"[40,60*20,80*2,100,300]"
2457,machine_3146,1.4,32,65%,52%,43,85%,84%,477,81%,6,32,"[60*30,80,100]"
2457,machine_3147,3.7,8,91%,74%,56,81%,79%,1257,49%,6,19,"[40*3,60*12,80*2,100*2]"
2457,machine_3148,2.7,20,79%,65%,18,94%,91%,677,72%,5,29,"[40*2,60*25,100*2]"
2457,machine_3149,1.0,54,42%,28%,56,81%,80%,937,62%,6,21,"[40*2,60*14,100*4,200]"
2457,machine_3150,4.8,1,99%,82%,16,94%,92%,777,68%,7,24,"[60*20,80,100*2,200]"
2457,machine_3151,2.0,21,77%,58%,48,83%,80%,737,70%,7,26,"[40,60*23,100,200]"
2457,machine_3152,2.9,9,90%,66%,11,96%,93%,877,64%,6,25,"[40*3,60*18,80,100*3]"
2457,machine_3153,1.3,10,89%,45%,148,49%,48%,897,63%,7,17,"[40*3,60*11,80,100,600]"
2457,machine_3155,2.4,17,82%,62%,16,94%,93%,437,82%,7,33,"[40,60*30,80,100]"
2457,machine_3157,3.7,8,91%,73%,35,88%,87%,537,78%,6,29,"[40,60*25,80,100,200]"
2457,machine_3158,4.1,12,86%,77%,47,84%,82%,477,81%,7,29,"[60*22,80*2,100*5]"
2457,machine_3161,2.7,11,88%,64%,107,63%,62%,1477,40%,5,15,"[40,60*11,80,100*2]"
2457,machine_3163,4.5,7,92%,79%,149,48%,44%,1537,37%,7,12,"[40*2,60*9,300]"
2457,machine_3164,2.8,14,85%,65%,19,93%,93%,557,77%,6,27,"[40,60*20,80*2,100*3,200]"
2457,machine_3165,2.9,13,86%,67%,10,96%,93%,677,72%,6,26,"[40*2,60*20,100*3,200]"
2457,machine_3166,1.3,34,63%,48%,37,87%,86%,497,80%,7,28,"[60*23,80,100*3,200]"
2457,machine_3167,2.6,17,81%,64%,4,99%,98%,497,80%,7,31,"[40*4,60*22,80,100*4]"
2457,machine_3169,3.1,12,87%,68%,64,78%,76%,897,63%,6,21,"[40*2,60*12,80*2,100*4,200]"
2457,machine_3170,3.7,6,93%,72%,38,87%,84%,817,67%,6,27,"[40*2,60*23,80,100]"
2457,machine_3171,3.0,8,91%,68%,18,94%,93%,657,73%,6,26,"[40,60*21,100*3,200]"
2457,machine_3172,1.6,28,70%,52%,74,74%,74%,1130,54%,6,19,"[40,60*14,80,100*2,167]"
2457,machine_3173,3.5,3,97%,71%,23,92%,90%,777,68%,7,23,"[60*18,100*4,200]"
2457,machine_3174,3.4,9,90%,71%,7,98%,96%,507,79%,6,26,"[40*3,60*17,80*2,100*2,150,300]"
2457,machine_3176,1.1,39,57%,44%,48,83%,83%,817,67%,6,26,"[40*3,60*22,200]"
2457,machine_3177,2.8,13,86%,66%,110,62%,61%,1297,47%,5,19,"[40,60*17,100]"
2457,machine_3179,2.6,21,78%,64%,27,91%,89%,637,74%,7,28,"[40,60*22,80*2,100*3]"
2457,machine_3181,2.5,12,87%,64%,0,100%,99%,677,72%,7,26,"[40,60*21,80,100*2,200]"
2457,machine_3182,1.8,29,69%,55%,58,80%,79%,617,75%,7,29,"[40*3,60*24,100,180]"
2457,machine_3184,1.2,34,63%,46%,126,56%,53%,253,90%,7,19,"[40,60*14,100*3,1024]"
2457,machine_3185,2.3,22,76%,62%,104,64%,62%,1317,46%,6,19,"[40*3,60*15,120]"
2457,machine_3187,4.0,6,93%,76%,87,70%,69%,1197,51%,7,21,"[40*3,60*16,80,100]"
2457,machine_3190,1.7,29,68%,53%,151,48%,48%,1457,41%,7,13,"[60*9,80*2,100,200]"
2457,machine_3191,1.4,25,72%,49%,46,84%,83%,1057,57%,5,23,"[40*2,60*19,80,100]"
2457,machine_3192,2.9,16,83%,67%,23,92%,88%,737,70%,6,28,"[40*2,60*23,80*2,100]"
2457,machine_3193,4.0,9,90%,75%,136,53%,52%,1617,34%,7,14,"[40*2,60*11,100]"
2457,machine_3194,1.5,24,74%,52%,16,94%,92%,317,87%,7,31,"[40,60*27,80,100,300]"
2457,machine_3195,2.9,15,84%,67%,45,84%,83%,737,70%,6,25,"[40*3,60*17,80,100*3,200]"
2457,machine_3197,2.8,16,83%,65%,122,58%,57%,1337,46%,7,16,"[40*3,60*10,100*2,200]"
2457,machine_3198,4.5,4,95%,80%,60,79%,76%,1097,55%,7,15,"[40,60*9,80,100*2,200,300]"
2457,machine_3200,1.8,25,73%,54%,91,68%,66%,957,61%,6,23,"[40*3,60*14,80*3,100*3]"
2457,machine_3202,4.3,2,98%,78%,11,96%,94%,417,83%,6,27,"[40*2,60*21,100*2,200,300]"
2457,machine_3204,3.2,12,87%,70%,35,88%,85%,657,73%,6,30,"[40*4,60*23,80*2,100]"
2457,machine_3205,3.9,1,99%,74%,4,99%,97%,757,69%,5,26,"[40*2,60*22,100,200]"
2457,machine_3207,3.6,7,92%,72%,64,78%,76%,1177,52%,7,19,"[40*2,60*15,100,200]"
2457,machine_3209,1.0,46,50%,36%,31,89%,88%,1057,57%,6,19,"[60*17,80,300]"
2457,machine_3211,4.7,4,96%,81%,17,94%,93%,717,71%,7,22,"[40,60*17,80,100,200,300]"
2457,machine_3212,2.5,16,83%,62%,39,87%,84%,497,80%,7,28,"[40,60*22,100*4,200]"
2457,machine_3214,4.9,0,100%,82%,124,57%,56%,1537,37%,6,12,"[40,60*8,100*2,200]"
2457,machine_3215,3.3,11,88%,70%,55,81%,80%,867,65%,7,22,"[40*3,60*11,80*2,100*5,150]"
2457,machine_3217,3.5,11,88%,72%,65,77%,75%,1017,59%,7,24,"[40*3,60*19,80,100]"
2457,machine_3219,2.5,18,81%,63%,59,80%,78%,777,68%,7,26,"[60*23,100*3]"
2457,machine_3220,4.2,7,92%,77%,32,89%,87%,697,72%,7,30,"[40*4,60*25,100]"
2457,machine_3221,1.1,35,62%,46%,47,84%,81%,417,83%,7,32,"[40*2,60*25,80*3,100,120]"
2457,machine_3222,2.0,21,78%,57%,25,91%,89%,407,83%,7,29,"[40,60*23,80,100*2,150,200]"
2457,machine_3224,3.9,1,99%,75%,62,78%,77%,1147,53%,5,20,"[40*2,60*15,80,100,150]"
2457,machine_3225,2.6,11,88%,64%,39,87%,85%,1157,53%,6,21,"[40*3,60*15,80,100*2]"
2457,machine_3226,2.0,23,75%,57%,46,84%,84%,737,70%,7,28,"[40*2,60*23,80*2,100]"
2457,machine_3228,4.1,11,88%,77%,107,63%,57%,1197,51%,7,16,"[40,60*12,100*2,300]"
2457,machine_3229,2.7,18,80%,66%,62,78%,77%,897,63%,5,25,"[40*2,60*20,80,100*2]"
2457,machine_3231,2.0,26,71%,58%,0,100%,98%,617,75%,7,29,"[40*3,60*22,100*4]"
2457,machine_3232,2.5,8,91%,62%,14,95%,94%,977,60%,6,24,"[40*2,60*19,80*2,100]"
2457,machine_3233,2.8,13,86%,66%,86,70%,69%,1157,53%,5,21,"[40*2,60*17,100*2]"
2457,machine_3234,4.6,1,99%,80%,88,69%,69%,1397,43%,5,18,"[40*5,60*10,80*2,100]"
2457,machine_3235,2.9,7,92%,66%,35,88%,87%,697,72%,5,24,"[40,60*17,100*5,200]"
2457,machine_3236,3.0,12,86%,68%,22,92%,89%,117,95%,6,32,"[60*25,80*3,100*2,200*2]"
2457,machine_3237,1.9,20,78%,55%,55,81%,79%,747,70%,6,23,"[40*3,60*16,80,100,150,300]"
2457,machine_3238,3.1,6,94%,68%,15,95%,94%,857,65%,7,19,"[40,60*13,80,100*2,200,300]"
2457,machine_3239,3.4,12,87%,71%,39,86%,85%,697,72%,7,27,"[40*3,60*21,80,100,200]"
2457,machine_3240,3.2,13,86%,69%,91,69%,67%,1117,55%,7,20,"[40,60*14,80*2,100*3]"
2457,machine_3241,3.0,11,88%,68%,23,92%,90%,197,92%,7,36,"[40*4,60*30,100,200]"
2457,machine_3242,1.7,22,77%,54%,84,71%,70%,1097,55%,6,20,"[40*2,60*15,80,100,200]"
2457,machine_3243,2.2,18,81%,57%,89,69%,67%,597,76%,6,24,"[60*18,80,100*3,200*2]"
2457,machine_3245,3.3,7,92%,70%,23,92%,90%,497,80%,6,33,"[40,60*32]"
2457,machine_3246,3.2,7,92%,69%,38,87%,85%,537,78%,7,27,"[40,60*20,80,100*4,200]"
2457,machine_3247,2.0,25,73%,58%,40,86%,81%,437,82%,7,29,"[40,60*23,100*3,150*2]"
2457,machine_3248,2.2,23,75%,61%,130,55%,52%,1517,38%,7,16,"[40*3,60*12,100]"
2457,machine_3249,3.7,3,97%,72%,20,93%,92%,737,70%,6,28,"[40*3,60*22,80,100*2]"
2457,machine_3250,2.4,15,83%,62%,101,65%,64%,557,77%,7,26,"[40*2,60*19,80,100*3,300]"
2457,machine_3251,2.7,16,82%,65%,50,83%,81%,557,77%,7,29,"[40*2,60*21,80*2,100*4]"
2457,machine_3252,1.8,26,72%,58%,27,91%,90%,367,85%,7,32,"[40*2,60*25,80*2,100*2,150]"
2457,machine_3253,3.0,7,92%,67%,37,87%,85%,887,64%,6,24,"[40,60*20,80,100,150]"
2457,machine_3254,2.8,9,90%,66%,16,94%,94%,437,82%,7,28,"[40*3,60*17,80,100*6,200]"
2457,machine_3255,2.2,19,80%,60%,19,93%,91%,457,81%,7,29,"[40*3,60*20,80,100*4,200]"
2457,machine_3256,5.0,1,99%,83%,84,71%,68%,1277,48%,6,19,"[40*3,60*13,80,100*2]"
2457,machine_3257,4.9,6,94%,83%,95,67%,55%,1237,50%,7,17,"[40*4,60*11,100,300]"
2457,machine_3258,1.7,24,74%,52%,56,81%,80%,1437,42%,5,16,"[40*2,60*11,80,100*2]"
2457,machine_3259,4.0,4,96%,75%,99,65%,65%,1197,51%,7,20,"[40,60*17,100*2]"
2457,machine_3261,1.7,26,72%,54%,30,90%,86%,197,92%,6,30,"[40*4,60*22,80,100*2,500]"
2457,machine_3262,3.2,10,89%,69%,31,89%,87%,357,85%,7,25,"[40*4,60*19,300,500]"
2457,machine_3263,4.3,6,93%,78%,71,75%,73%,977,60%,6,21,"[40,60*19,300]"
2457,machine_3264,4.2,1,99%,77%,52,82%,80%,1157,53%,6,20,"[40,60*16,100*3]"
2457,machine_3265,4.3,4,96%,78%,71,75%,71%,1037,58%,7,20,"[40*2,60*16,80,300]"
2457,machine_3267,2.5,16,82%,63%,60,79%,77%,487,80%,7,25,"[40,60*16,100*5,120,150,200]"
2457,machine_3268,4.2,5,95%,77%,50,82%,81%,677,72%,7,29,"[40*4,60*21,80*2,100*2]"
2457,machine_3271,3.5,6,93%,71%,40,86%,84%,677,72%,7,24,"[40,60*19,100*2,200*2]"
2457,machine_3272,3.6,8,91%,73%,20,93%,91%,417,83%,7,30,"[40*2,60*23,80,100*3,200]"
2457,machine_3273,2.4,20,78%,63%,29,90%,87%,237,90%,7,31,"[40*2,60*24,100*3,200*2]"
2457,machine_3277,2.5,18,80%,63%,24,92%,89%,377,85%,7,32,"[40,60*29,100,200]"
2457,machine_3279,2.5,16,82%,63%,24,92%,91%,617,75%,7,29,"[40,60*25,100*3]"
2457,machine_3280,2.5,15,84%,62%,34,88%,85%,817,67%,6,27,"[40*3,60*22,100*2]"
2457,machine_3281,4.7,4,96%,81%,103,64%,52%,1517,38%,5,12,"[40*2,60*8,80,300]"
2457,machine_3282,3.4,10,89%,71%,30,90%,85%,737,70%,4,25,"[60*21,80*2,100,200]"
2457,machine_3284,5.2,4,96%,85%,87,70%,65%,937,62%,7,20,"[40,60*15,80,100*2,300]"
2457,machine_3285,3.8,1,99%,71%,97,66%,63%,1117,55%,7,21,"[40,60*17,80,100*2]"
2457,machine_3288,3.2,4,96%,68%,15,95%,91%,777,68%,5,26,"[40,60*21,80,100*3]"
2457,machine_3290,4.2,11,88%,78%,104,64%,62%,1317,46%,7,15,"[60*14,300]"
2457,machine_3291,3.8,7,92%,74%,70,76%,74%,1057,57%,7,22,"[40*2,60*16,80*2,100*2]"
2457,machine_3292,4.4,0,100%,78%,78,73%,72%,1017,59%,7,20,"[40,60*15,100*3,200]"
2457,machine_3294,3.2,7,92%,66%,40,86%,85%,1377,44%,6,17,"[40,60*13,80*2,100]"
2457,machine_3295,6.0,2,97%,90%,51,82%,80%,697,72%,7,23,"[60*18,80,100*3,300]"
2457,machine_3297,1.5,34,63%,54%,128,56%,54%,1447,41%,6,12,"[40,60*7,100*3,250]"
2457,machine_3299,2.7,18,80%,65%,39,86%,83%,997,59%,5,25,"[40*4,60*20,100]"
2457,machine_3302,2.8,19,79%,66%,38,87%,86%,797,68%,7,28,"[40,60*27]"
2457,machine_3304,1.8,25,73%,56%,31,89%,86%,457,81%,7,32,"[40*4,60*23,80*2,100*3]"
2457,machine_3305,3.2,10,90%,68%,74,74%,73%,1097,55%,5,22,"[40,60*19,80,100]"
2457,machine_3309,2.0,26,71%,57%,144,50%,49%,1617,34%,6,10,"[60*9,300]"
2457,machine_3311,4.4,4,96%,79%,11,96%,95%,477,81%,6,31,"[40*2,60*25,100*4]"
2457,machine_3312,3.9,6,93%,75%,5,98%,97%,437,82%,7,31,"[40*3,60*25,100*2,200]"
2457,machine_3314,2.3,21,77%,62%,62,78%,77%,517,79%,7,27,"[40*2,60*21,100*3,300]"
2457,machine_3315,2.6,12,87%,62%,67,77%,77%,1197,51%,6,20,"[40,60*17,100*2]"
2457,machine_3317,3.1,13,86%,68%,127,56%,55%,1077,56%,7,20,"[60*18,100,200]"
2457,machine_3318,2.8,7,92%,65%,47,84%,81%,857,65%,7,23,"[40*2,60*19,80,300]"
2457,machine_3320,3.5,9,90%,70%,136,53%,52%,1517,38%,7,14,"[60*11,80,100*2]"
2457,machine_3321,2.2,23,75%,59%,89,69%,69%,957,61%,7,24,"[40,60*21,100*2]"
2457,machine_3323,3.7,7,93%,73%,70,76%,74%,747,70%,6,21,"[40,60*17,200*2,250]"
2457,machine_3324,2.4,7,92%,60%,32,89%,86%,1137,54%,6,17,"[60*14,80,100,300]"
2457,machine_3325,4.2,4,96%,77%,13,96%,92%,397,84%,7,32,"[40,60*26,80*2,100*3]"
2457,machine_3327,1.1,42,54%,42%,29,90%,88%,1017,59%,6,23,"[40,60*20,100*2]"
2457,machine_3329,2.2,21,77%,59%,29,90%,88%,757,69%,5,27,"[40,60*22,80*3,100]"
2457,machine_3331,4.1,7,92%,76%,56,81%,80%,917,63%,7,21,"[40,60*17,80,100,300]"
2457,machine_3332,1.7,28,69%,55%,72,75%,75%,1017,59%,6,22,"[40*2,60*18,80,200]"
2457,machine_3333,1.6,29,68%,54%,56,80%,79%,857,65%,7,26,"[40,60*23,80,100]"
2457,machine_3334,1.8,28,70%,57%,49,83%,81%,557,77%,7,30,"[40*2,60*27,200]"
2457,machine_3335,4.3,6,94%,78%,41,86%,83%,777,68%,5,28,"[40,60*26,80]"
2457,machine_3336,4.5,5,94%,80%,21,93%,91%,497,80%,7,32,"[40*3,60*26,80,100*2]"
2457,machine_3338,1.0,43,53%,44%,51,82%,80%,637,74%,7,29,"[60*27,100*2]"
2457,machine_3340,3.4,15,84%,72%,104,64%,62%,1017,59%,7,17,"[60*14,100,200,300]"
2457,machine_3341,4.9,3,97%,82%,43,85%,84%,677,72%,7,25,"[40,60*18,80*2,100*3,200]"
2457,machine_3342,2.1,23,75%,60%,24,92%,89%,617,75%,7,29,"[40*2,60*23,80,100*3]"
2457,machine_3343,2.0,18,80%,58%,55,81%,80%,457,81%,7,26,"[60*19,80*2,100*3,200*2]"
2457,machine_3345,1.4,32,65%,50%,35,88%,85%,677,72%,7,29,"[40,60*26,80,100]"
2457,machine_3346,2.1,21,77%,59%,42,86%,83%,837,66%,6,25,"[40*2,60*19,100*4]"
2457,machine_3347,2.8,18,80%,66%,120,58%,58%,1457,41%,7,16,"[40*2,60*12,100*2]"
2457,machine_3348,4.1,2,98%,76%,48,83%,81%,677,72%,6,27,"[40,60*23,80*2,200]"
2457,machine_3349,1.9,25,73%,57%,13,95%,90%,477,81%,7,28,"[40*2,60*22,80,100*2,300]"
2457,machine_3350,3.3,4,95%,70%,107,63%,60%,1137,54%,7,18,"[40,60*12,80*2,100*2,200]"
2457,machine_3351,2.2,19,79%,59%,39,87%,85%,807,67%,6,21,"[40*2,60*14,80,100,150,200*2]"
2457,machine_3352,3.8,7,92%,74%,30,90%,89%,597,76%,7,30,"[40*3,60*24,100*3]"
2457,machine_3353,3.7,11,88%,74%,38,87%,85%,497,80%,7,31,"[40*2,60*25,80,100*3]"
2457,machine_3354,2.4,13,86%,60%,56,81%,79%,317,87%,7,34,"[40*2,60*31,200]"
2457,machine_3357,2.1,23,75%,58%,60,79%,78%,347,86%,7,32,"[40,60*26,80*2,100*2,150]"
2457,machine_3358,3.8,7,92%,74%,83,71%,70%,937,62%,7,24,"[40*4,60*16,100*4]"
2457,machine_3360,2.4,23,75%,62%,62,78%,76%,797,68%,6,26,"[60*23,80,100*2]"
2457,machine_3362,2.3,23,76%,61%,96,67%,65%,1137,54%,7,20,"[40,60*15,80,100*3]"
