aid,size,cpumax,cpumin,cpuavg,cpustdev,cpuxg,memmax,memmin,memavg,memstdev,memxg,disk,p
app_110,3,0.5,0.5,0.5,0,0,4.9554,3.0485,4.6313,0.269,0.3241,60,0
app_1100,3,0.698,0.5,0.502,0.02,0.196,4.6521,4.368,4.5694,0.0704,0.0827,60,0
app_1101,9,7.647,0.606,2.6372,1.6362,5.0098,13.9155,1,7.8863,6.2688,6.0293,60,0
app_1102,2,0.5,0.5,0.5,0,0,4.5575,3.3604,4.387,0.1546,0.1705,60,0
app_1103,2,1.15,0.5,0.5066,0.0657,0.6434,5.0456,1,4.7678,0.6824,0.2778,60,0
app_1104,2,0.5,0.5,0.5,0,0,1,1,1,0,0,60,0
app_1105,5,0.5,0.5,0.5,0,0,3.367,1,1.3632,0.8282,2.0038,60,0
app_1106,1,0.5,0.5,0.5,0,0,2.8054,2.6067,2.7052,0.0611,0.1002,60,0
app_1107,5,2.549,0.5,0.5478,0.2512,2.0012,4.8007,4.0963,4.6395,0.1189,0.1612,60,0
app_1108,2,0.5,0.5,0.5,0,0,3.6676,1,2.0509,1.1574,1.6168,60,0
app_1109,2,0.5,0.5,0.5,0,0,3.0701,2.5758,2.9413,0.1049,0.1288,60,0
app_111,2,0.5,0.5,0.5,0,0,4.8581,1,3.5549,1.525,1.3032,60,0
app_1110,5,1.592,0.5,0.7061,0.3177,0.8859,6.1146,4.8565,5.7691,0.2005,0.3455,60,0
app_1111,1,0.5,0.5,0.5,0,0,1,1,1,0,0,60,0
app_1112,2,0.5,0.5,0.5,0,0,3.5444,3.2325,3.4135,0.1097,0.1309,60,0
app_1113,1,32,32,32,0,0,80,80,80,0,0,600,0
app_1114,1,4,4,4,0,0,8,8,8,0,0,60,0
app_1115,6,0.659,0.5,0.5117,0.0365,0.1473,4.2517,3.1418,3.9191,0.2023,0.3327,60,0
app_1116,2,4,4,4,0,0,8,8,8,0,0,80,0
app_1117,2,0.5,0.5,0.5,0,0,3.4744,2.8242,3.193,0.2226,0.2814,60,0
app_1118,2,0.5,0.5,0.5,0,0,5.5,3.573,4.4383,0.5916,1.0617,60,0
app_1119,3,3.95,0.5,1.0631,1.1466,2.8869,5.2266,4.6562,4.9872,0.167,0.2394,100,0
app_112,2,0.5,0.5,0.5,0,0,1,1,1,0,0,60,0
app_1120,2,0.5,0.5,0.5,0,0,1.288,1,1.0288,0.0717,0.2593,60,0
app_1121,2,4,4,4,0,0,8,8,8,0,0,60,0
app_1122,7,1.131,0.5,0.548,0.0848,0.583,5.5793,4.9351,5.3762,0.1265,0.2032,40,0
app_1123,76,1.392,0.5,0.6045,0.1617,0.7875,6.5371,6.0337,6.2942,0.0853,0.2429,60,0
app_1124,2,0.756,0.5,0.5026,0.0259,0.2534,4.9254,4.3414,4.7659,0.1237,0.1595,60,0
app_1125,1,23.754,0.5,5.4409,5.8734,18.3131,5.9443,2.9438,3.5808,0.7683,2.3635,300,0
app_1126,2,0.5,0.5,0.5,0,0,3.1064,2.6129,2.8298,0.172,0.2766,100,0
app_1127,5,0.633,0.5,0.5029,0.0168,0.1301,5.8387,4.9394,5.5039,0.18,0.3348,60,0
app_1128,2,0.5,0.5,0.5,0,0,4.0231,3.3018,3.8103,0.1878,0.2128,60,0
app_1129,2,0.5,0.5,0.5,0,0,4.161,2.7895,3.6769,0.3952,0.4841,60,0
app_113,1,0.5,0.5,0.5,0,0,3.4136,1,3.1611,0.2677,0.2525,60,0
app_1130,1,0.5,0.5,0.5,0,0,3.2908,2.7777,3.0149,0.1957,0.2759,60,0
app_1131,2,0.5,0.5,0.5,0,0,3.2254,2.6645,3.1017,0.1269,0.1237,60,0
app_1132,1,4,4,4,0,0,8,8,8,0,0,60,0
app_1133,1,0.5,0.5,0.5,0,0,3.1712,2.6954,2.9763,0.1275,0.1949,60,0
app_1134,2,0.5,0.5,0.5,0,0,2.5757,2.1746,2.4468,0.129,0.1289,100,0
app_1135,1,0.5,0.5,0.5,0,0,3.3838,3.0059,3.1698,0.1139,0.2141,60,0
app_1136,1,0.5,0.5,0.5,0,0,4.9055,3.1915,4.5189,0.5153,0.3866,60,0
app_1137,1,0.5,0.5,0.5,0,0,2.8461,2.417,2.6161,0.0875,0.2299,60,0
app_1138,27,1.024,0.5,0.5491,0.1179,0.4749,4.7299,1,3.8431,1.5377,0.8868,60,0
app_1139,2,0.5,0.5,0.5,0,0,2.5367,2.1481,2.4187,0.0902,0.118,60,0
app_114,1,0.5,0.5,0.5,0,0,4.4333,3.5431,4.2727,0.134,0.1607,60,0
app_1140,1,0.5,0.5,0.5,0,0,3.2713,2.7576,2.9942,0.1406,0.2771,60,0
app_1141,1,0.5,0.5,0.5,0,0,4.229,3.1661,3.6467,0.2846,0.5823,60,0
app_1142,1,4,4,4,0,0,8,8,8,0,0,60,0
app_1143,3,0.707,0.5,0.5123,0.0331,0.1947,5.3756,1,1.6853,1.5623,3.6903,60,0
app_1144,32,2.719,0.567,1.0393,0.4069,1.6797,5.6978,5.0347,5.3843,0.184,0.3135,60,0
app_1145,2,0.5,0.5,0.5,0,0,4.4008,3.006,3.5963,0.4373,0.8045,60,0
app_1146,1,1.856,0.5,0.8732,0.3945,0.9828,5.1159,4.8175,4.9638,0.0967,0.1521,60,0
app_1147,4,0.821,0.5,0.5218,0.0555,0.2992,8,1,4.5626,3.2615,3.4374,60,0
app_1148,5,1.416,0.5,0.5346,0.1501,0.8814,5.4428,3.937,5.192,0.197,0.2508,60,0
app_1149,1,0.5,0.5,0.5,0,0,3.7534,1.3262,2.1859,0.5969,1.5675,60,0
app_115,1,0.5,0.5,0.5,0,0,2.8529,2.3929,2.7183,0.1121,0.1346,60,0
app_1150,4,2.398,0.5,0.9046,0.5597,1.4934,4.565,2.9444,3.3934,0.4365,1.1717,60,0
app_1151,1,2.113,0.5,0.5165,0.1629,1.5965,4.2906,2.703,3.2905,0.4345,1.0001,60,0
app_1152,409,2.412,0.642,1.3989,0.411,1.0131,5.8027,5.0992,5.5555,0.1636,0.2473,60,0
app_1153,135,3.801,0.574,1.957,0.6053,1.844,7.8609,1,6.609,1.187,1.2519,60,0
app_1154,12,1.24,0.5,0.5531,0.1413,0.6869,6.666,5.3706,6.3132,0.2949,0.3528,60,0
app_1155,9,1.685,0.5,0.6728,0.2285,1.0122,5.8938,4.9872,5.4615,0.1757,0.4322,60,0
app_1156,2,0.5,0.5,0.5,0,0,2.6793,1,1.0325,0.2265,1.6468,100,0
app_1157,2,0.5,0.5,0.5,0,0,3.7138,1,2.0586,1.0888,1.6553,60,0
app_1158,2,0.5,0.5,0.5,0,0,4.1383,2.5295,3.4426,0.3848,0.6957,60,0
app_1159,5,1.121,0.5,0.5148,0.076,0.6062,4.9388,3.1153,4.7205,0.3311,0.2183,60,0
app_116,3,0.5,0.5,0.5,0,0,4.4527,2.9693,4.0697,0.3762,0.383,60,0
app_1160,12,1.117,0.5,0.5122,0.0727,0.6048,4.8164,4.44,4.7417,0.0776,0.0747,60,0
app_1161,2,3.191,0.561,2.1749,0.7948,1.0161,5.0068,4.2436,4.7034,0.228,0.3034,60,0
app_1162,2,0.5,0.5,0.5,0,0,4.588,2.9028,3.2444,0.5101,1.3437,60,0
app_1163,11,2.209,0.5,0.8052,0.3151,1.4038,6.107,4.6723,4.975,0.2539,1.1321,60,0
app_1164,1,0.5,0.5,0.5,0,0,1,1,1,0,0,60,0
app_1165,4,0.622,0.5,0.5029,0.0169,0.1191,1,1,1,0,0,60,0
app_1166,2,0.5,0.5,0.5,0,0,3.5171,2.4948,3.2799,0.2549,0.2372,60,0
app_1167,4,1.951,0.5,1.0345,0.4126,0.9165,2.5073,1.4473,2.0362,0.2704,0.4711,60,0
app_1168,2,4,0.5,1.4514,0.5705,2.5486,5.8008,2.5392,4.682,0.8437,1.1187,60,0
app_1169,4,1.153,0.5,0.6061,0.1516,0.5469,5.5938,4.3957,5.3297,0.239,0.2641,60,0
app_117,1,4,4,4,0,0,4,4,4,0,0,60,0
app_1170,2,0.5,0.5,0.5,0,0,3.6544,1,2.6864,1.1077,0.968,60,0
app_1171,1,0.5,0.5,0.5,0,0,3.1451,2.5202,2.8839,0.1529,0.2612,60,0
app_1172,3,1.13,0.5,0.5064,0.0636,0.6236,3.7612,2.4953,3.2818,0.2797,0.4794,60,0
app_1173,53,2.815,0.5,0.6069,0.328,2.2081,5.7327,4.7183,5.2593,0.2013,0.4734,60,0
app_1174,3,1.068,0.5,0.5217,0.0922,0.5463,5.9752,5.5865,5.8835,0.0726,0.0917,60,0
app_1175,4,0.577,0.5,0.5008,0.0078,0.0762,3.7551,2.3426,3.1864,0.4711,0.5688,60,0
app_1176,4,0.5,0.5,0.5,0,0,1,1,1,0,0,60,0
app_1177,1,0.5,0.5,0.5,0,0,5.167,5.0846,5.1068,0.0121,0.0601,60,0
app_1178,10,1.197,0.535,0.7837,0.1313,0.4133,5.921,4.3255,5.2938,0.4819,0.6272,60,0
app_1179,1,0.5,0.5,0.5,0,0,3.4681,2.3347,3.0321,0.342,0.436,60,0
app_118,3,0.58,0.5,0.5011,0.0083,0.0789,4.9365,3.6994,4.7574,0.189,0.1791,60,0
app_1180,2,1.66,0.5,0.5118,0.1172,1.1482,5.2607,3.5862,4.7815,0.4271,0.4792,60,0
app_1181,1,0.5,0.5,0.5,0,0,3.0078,2.565,2.8461,0.12,0.1618,60,0
app_1182,5,1.261,0.5,0.7914,0.2212,0.4696,3.2601,1,2.3926,1.0023,0.8676,60,0
app_1183,1,4,4,4,0,0,8,8,8,0,0,60,0
app_1184,2,0.5,0.5,0.5,0,0,1,1,1,0,0,60,0
app_1185,2,0.5,0.5,0.5,0,0,3.0745,2.9041,3.0003,0.0434,0.0742,60,0
app_1186,1,0.5,0.5,0.5,0,0,2.1712,1.618,2.0508,0.1867,0.1203,60,0
app_1187,2,0.5,0.5,0.5,0,0,3.7053,2.803,3.5122,0.209,0.193,60,0
app_1188,2,0.926,0.5,0.5314,0.0765,0.3946,4.5093,1,1.7134,1.2654,2.7959,60,0
app_1189,3,0.903,0.5,0.5079,0.055,0.3951,5.435,2.8097,4.4519,0.8281,0.9831,60,0
app_119,1,1.47,0.5,0.5824,0.2096,0.8876,1,1,1,0,0,60,0
app_1190,4,1.379,0.5,0.5553,0.1049,0.8237,3.2796,2.1464,2.9567,0.161,0.3229,60,0
app_1191,2,1.266,0.5,0.5078,0.0774,0.7582,3.8312,1,3.5603,0.542,0.2709,60,0
app_1192,2,0.5,0.5,0.5,0,0,3.22,2.719,3.0466,0.1319,0.1734,60,0
app_1193,2,0.5,0.5,0.5,0,0,5.0331,4.2108,4.7381,0.1764,0.295,60,0
app_1194,3,0.5,0.5,0.5,0,0,3.235,2.7373,3.0132,0.1258,0.2218,60,0
app_1195,98,3.062,0.63,1.5028,0.4097,1.5592,6.3918,5.9105,6.2001,0.0966,0.1917,60,0
app_1196,3,0.5,0.5,0.5,0,0,4.639,4.1171,4.4823,0.1208,0.1567,100,0
app_1197,6,1.971,0.5,0.5415,0.1984,1.4295,5.3086,1,3.8597,0.6984,1.4489,60,0
app_1198,1,0.809,0.5,0.5163,0.0515,0.2927,6.1662,1,4.275,1.3995,1.8912,60,0
app_1199,1,0.5,0.5,0.5,0,0,3.3795,1,3.2605,0.406,0.119,60,0
app_12,2,0.5,0.5,0.5,0,0,5.5434,5.0238,5.3646,0.1661,0.1787,60,0
app_120,7,0.5,0.5,0.5,0,0,5.7569,5.1185,5.5247,0.1026,0.2322,60,0
app_1200,2,0.5,0.5,0.5,0,0,4.1842,3.1512,3.8024,0.283,0.3819,60,0
app_1201,12,4,0.5,2.4574,1.2091,1.5426,5.2993,3.944,5.0334,0.2922,0.2659,60,0
app_1202,1,0.5,0.5,0.5,0,0,5.6197,4.863,5.3638,0.2474,0.2559,60,0
app_1203,7,0.738,0.5,0.5055,0.0307,0.2325,5.3283,1,4.4612,0.4765,0.8671,60,0
app_1204,2,0.5,0.5,0.5,0,0,5.1207,2.5724,3.267,0.784,1.8536,60,0
app_1205,3,0.5,0.5,0.5,0,0,5.3354,2.3515,3.076,0.5565,2.2594,60,0
app_1206,1,0.5,0.5,0.5,0,0,1,1,1,0,0,60,0
app_1207,3,0.5,0.5,0.5,0,0,3.1462,1,1.5847,0.9088,1.5616,100,0
app_1208,2,0.5,0.5,0.5,0,0,3.9104,3.1305,3.6854,0.137,0.2251,60,0
app_1209,1,4,4,4,0,0,8,8,8,0,0,60,0
app_121,5,0.5,0.5,0.5,0,0,3.1679,2.4624,3.0058,0.1589,0.1621,60,0
app_1210,1,0.5,0.5,0.5,0,0,3.7531,2.2401,2.5657,0.336,1.1874,60,0
app_1211,1,0.5,0.5,0.5,0,0,2.6806,1,1.2288,0.2507,1.4518,60,0
app_1212,2,0.5,0.5,0.5,0,0,3.6729,2.4325,3.0045,0.2101,0.6684,60,0
app_1213,4,0.5,0.5,0.5,0,0,3.3742,3.0683,3.2823,0.0632,0.0919,60,0
app_1214,2,0.5,0.5,0.5,0,0,3.7782,2.8232,3.474,0.2162,0.3041,60,0
app_1215,1,0.5,0.5,0.5,0,0,3.2764,2.9309,3.1637,0.0933,0.1128,60,0
app_1216,5,1.219,0.5,0.5124,0.0791,0.7066,6.6083,5.8819,6.2898,0.1543,0.3185,60,0
app_1217,2,0.5,0.5,0.5,0,0,2.5131,1.5147,2.1104,0.2437,0.4027,60,0
app_1218,2,0.5,0.5,0.5,0,0,3.5559,2.8217,3.2935,0.1878,0.2624,60,0
app_1219,1,0.5,0.5,0.5,0,0,3.6817,3.1178,3.4567,0.1087,0.2251,60,0
app_122,36,1.68,0.5,0.5577,0.1799,1.1223,6.8998,1,6.2443,0.7157,0.6555,40,0
app_1220,2,0.5,0.5,0.5,0,0,2.8259,2.2986,2.5921,0.153,0.2338,60,0
app_1221,3,0.5,0.5,0.5,0,0,3.4599,2.8371,3.0787,0.172,0.3812,60,0
app_1222,397,3.56,0.5,1.3742,0.8359,2.1858,9.3131,8.9139,9.2214,0.0971,0.0917,60,1
app_1223,1,0.5,0.5,0.5,0,0,4.4035,4.2686,4.3596,0.0392,0.0439,60,0
app_1224,12,1.755,0.5,0.8907,0.3262,0.8643,6.5487,1,5.7247,1.325,0.824,60,0
app_1225,1,4,4,4,0,0,8,8,8,0,0,60,0
app_1226,2,1.15,0.5,1.0502,0.1294,0.0998,1.3371,1.1013,1.2786,0.0309,0.0585,60,0
app_1227,76,2.469,0.5,0.6035,0.3102,1.8655,7.5471,6.7874,7.1444,0.2659,0.4027,60,0
app_1228,2,1.41,0.5,0.5095,0.0919,0.9005,3.7021,2.9612,3.3786,0.1245,0.3236,60,0
app_1229,12,0.989,0.5,0.5165,0.0812,0.4725,6.0522,5.4066,5.801,0.1508,0.2512,60,0
app_123,1,0.5,0.5,0.5,0,0,3.1163,2.7075,2.983,0.0772,0.1334,60,0
app_1230,1,4,4,4,0,0,8,8,8,0,0,60,0
app_1231,1,0.5,0.5,0.5,0,0,5.3203,4.0083,4.9141,0.1441,0.4062,60,0
app_1232,3,0.817,0.5,0.5032,0.032,0.3138,4.8216,3.1353,4.3271,0.5935,0.4945,60,0
app_1233,4,0.5,0.5,0.5,0,0,4.8752,2.9729,4.6221,0.3448,0.2531,60,0
app_1234,2,0.5,0.5,0.5,0,0,6.2386,5.592,5.989,0.1639,0.2496,60,0
app_1235,6,2.127,0.5,0.5166,0.1644,1.6104,4.8875,4.6634,4.8092,0.0615,0.0783,60,0
app_1236,2,0.5,0.5,0.5,0,0,1,1,1,0,0,60,0
app_1237,5,0.5,0.5,0.5,0,0,3.2847,2.5639,3.1467,0.163,0.138,60,0
app_1238,19,1.59,0.5,0.6818,0.2341,0.9082,5.675,5.2693,5.5252,0.1081,0.1498,60,0
app_1239,2,0.5,0.5,0.5,0,0,3.7749,2.7934,3.3477,0.2709,0.4272,60,0
app_124,1,0.5,0.5,0.5,0,0,4.8973,3.409,4.4524,0.4463,0.4449,60,0
app_1240,2,3.743,0.5,1.1511,1.0535,2.5919,5.2489,3.2647,4.4766,0.4749,0.7723,60,0
app_1241,3,0.5,0.5,0.5,0,0,5.0022,3.167,4.7273,0.2504,0.2749,60,0
app_1242,1,0.5,0.5,0.5,0,0,3.699,3.587,3.6709,0.0282,0.0281,60,0
app_1243,39,3.823,0.5,2.5621,1.0799,1.2609,4.5976,3.0163,4.1542,0.4123,0.4434,60,0
